"Uwi","Producer.oilApiGravity","Core.XrdQuartz","Producer.mudPressure","Core.TOC","Core.RoMeasured","Core.GriSaturationsSo","Core.ln_formationThickness","Core.GriTotalPorosity","Rules.Prediction","Kaggle.Prediction","Target"
"42255321050000",45,15.48856041,0.567549874,3.512062674,1.181346791,26.44309126,5.333553913,8.293869953,350,17.5655221347968,28.5541411283986
"42255321080000",41.5,15.32746968,0.589226285,3.496977499,1.058808522,30.89125924,5.091905594,7.707234109,300,18.7384302849411,20.7990732159407
"42255321090000",NA,16.15508229,0.612928896,3.484843813,1.353449507,15.49429083,5.541066395,8.341903955,150,17.6010113731573,13.2184289028837
"42255321100000",57,16.15507658,0.612928291,3.484857669,1.353475457,15.49338102,5.54114584,8.342025392,350,17.4326732092868,12.7875371849068
"42255321110000",47.4,15.65645478,0.546,3.412194036,1.148811452,24.3366678,5.128389434,7.528037801,300,16.6712900940918,17.0651803684781
"42255321130000",53,15.89201242,0.586983275,3.484168085,1.338536975,16.60003016,5.560066458,8.381479335,350,16.980918725326,24.682081831008
"42255321140000",53,15.89217163,0.586990717,3.484149271,1.33849861,16.59978793,5.560021284,8.38139651,350,17.4939304911423,25.079754601227
"42255321150000",44,15.12169247,0.590049984,3.348281874,1.075142537,26.67259869,4.970668561,6.887505663,250,11.6030418811509,10.4756072667891
"42255321160000",42.3,15.20771495,0.56679998,3.373095082,0.987977962,29.71681184,4.843724987,6.764233435,200,17.2234672840317,10.7803637786036
"42255321170000",40,15.65082551,0.574216772,3.398240594,1.181264398,22.54844495,5.108691638,7.434402996,250,16.5639997917122,15.3080016083635
"42255321190000",42.3,15.20747011,0.57720002,3.373093408,0.987793716,29.72275037,4.84342409,6.763645664,200,16.7326354939276,7.76270148949194
"42255321230100",53.9,15.94652938,0.61360001,3.467383636,1.243649363,19.89845755,5.447779456,8.319538555,350,17.0425972459247,39.9152936962751
"42255321240000",46,15.4890916,0.567475295,3.515068171,1.176973954,26.3683433,5.329224318,8.311363015,350,17.9032441843563,17.224888747616
"42255321250000",61.3,16.18397439,0.618904864,3.498536661,1.385373025,14.61204698,5.604897847,8.434417258,350,15.1175690189604,13.9028207774338
"42255321270000",46,15.57890024,0.576016523,3.53588737,1.193405765,23.90953529,5.384185869,8.715413593,350,23.1053613917597,27.755286157316
"42255321280000",45,15.56969701,0.574724141,3.535626683,1.19195552,24.1541731,5.380912965,8.679310997,350,23.7850706074186,32.5232165470663
"42255321300000",42.7,15.08222621,0.589352195,3.343366974,1.099286444,26.07779405,5.012074661,6.916357284,300,11.9333298107406,18.7873822975518
"42255321310000",62.9,16.07605265,0.613706408,3.466563289,1.384517796,14.6924681,5.428815942,7.963396517,300,14.3116146741424,4.02268798617113
"42255321320000",41,15.33161567,0.589163808,3.491990349,1.067896532,30.99053229,5.107831153,7.708756434,300,20.9951802832918,15.8735741444867
"42255321330000",44.2,15.5511816,0.57703137,3.395614049,1.1319773,24.72155284,5.064320686,7.322117606,300,14.7611609540888,19.9361455108359
"42255321340000",44.3,15.3382208,0.598,3.397422033,1.012653571,29.68115408,4.91704252,6.992543286,250,18.0374179219924,9.03354453969437
"42255321350000",46,15.59448174,0.578384914,3.537903094,1.199062907,23.60859782,5.39653146,8.767242146,350,22.7982855838454,41.1498445595855
"42255321360000",44,15.33829678,0.59279998,3.397445106,1.012680438,29.68121122,4.917128612,6.992795886,250,15.7147715565489,11.9676271186441
"42255321370000",45.4,15.57679868,0.575372623,3.399249571,1.135313835,24.63723611,5.075910287,7.363900915,300,14.9800679786454,16.4652406417112
"42255321380000",43.9,15.33843262,0.572,3.397497708,1.012676528,29.68365486,4.917221395,6.993157353,250,15.557874612167,13.4502681197025
