UWI,Source,Test Type,Test Number,Number,Type,Depth Top,Depth Base,Fluid Amount,Fluid Units,Fluid Type,Propping Agent Amount,Propping Agent Units,Propping Agent Type,Pressure Breakdown,Injection Rate,Additive,Stage,Mesh Size,Remark
4.20133E+13,PI,IP,1,21,FRAC,11446,11452,,,,200000,LB,SAND,,,,,40/80,"DETAILS: 100000# HYDROPROP, 100000# CARBOLITE"
4.20133E+13,PI,IP,1,22,FRAC,11524,11527,,,,79056,LB,SAND,,,,,40/80,HYDROPROP
4.20133E+13,PI,IP,1,1,FRAC,10080,10086,,,,200000,LB,SAND,,,,,30/60,BAUXITE
4.20133E+13,PI,IP,1,2,FRAC,10225,10231,,,,200000,LB,SAND,,,,,30/60,BAUXITE
4.20133E+13,PI,IP,1,3,FRAC,10375,10381,,,,200000,LB,SAND,,,,,30/60,BAUXITE
4.20133E+13,PI,IP,1,4,FRAC,10528,10534,,,,200000,LB,SAND,,,,,30/60,BAUXITE
4.20133E+13,PI,IP,1,5,FRAC,10675,10681,,,,200000,LB,SAND,,,,,30/60,BAUXITE
4.20133E+13,PI,IP,1,6,FRAC,10820,10826,,,,200000,LB,SAND,,,,,30/60,BAUXITE
4.20133E+13,PI,IP,1,7,FRAC,10975,10981,,,,200000,LB,SAND,,,,,30/60,BAUXITE
4.20133E+13,PI,IP,1,8,FRAC,11125,11131,,,,200000,LB,SAND,,,,,30/60,BAUXITE
4.20133E+13,PI,IP,1,9,FRAC,11325,11331,,,,200000,LB,SAND,,,,,30/60,BAUXITE
4.20133E+13,PI,IP,1,10,FRAC,11475,11481,,,,200000,LB,SAND,,,,,30/60,BAUXITE
4.20133E+13,PI,IP,1,11,FRAC,11676,11682,,,,200000,LB,SAND,,,,,30/60,BAUXITE
4.20133E+13,PI,IP,1,12,FRAC,11825,11831,,,,200000,LB,SAND,,,,,30/60,BAUXITE
4.20133E+13,PI,IP,1,13,FRAC,11965,11971,,,,200000,LB,SAND,,,,,30/60,BAUXITE
4.20133E+13,PI,IP,1,14,FRAC,12125,12131,,,,200000,LB,SAND,,,,,30/60,BAUXITE
