"","Entity","Uwi","Latitude","Longitude","Depth.True.Vertical","Tmax","S2","Romeasure","ClayChlo","waterporosity"
"1391","242020268205",42123326470000,29.08494,-97.37774,13785,496.608009407298,0.421597196133654,1.42338290724817,7.88654669805401,3.12730131770321
"1392","242020268219",42123325910000,28.92006,-97.67319,13544,483.916965457023,1.58282931328207,1.4372043162432,4.35639934871203,2.19882258057689
"1393","242020268515",42123325660000,29.02103,-97.55496,13492,482.416596974081,2.29686056716814,1.35041672684259,5.22126383572529,2.38308141611569
"1394","242020268536",42123326200000,29.1064,-97.46364,13630,482.98485046191,2.34563592938528,1.36031921210926,6.5638882844102,2.79809748818325
"1395","242020268541",42123325680000,28.9201,-97.67302,13584,483.929024560054,1.58206123307697,1.43718165541764,4.35822460609885,2.19881614805579
"1396","242020268546",42123326740000,29.28565,-97.26255,13400,477.362102718115,1.49061277327709,1.25091566691012,6.7988397407346,2.85232379263159
"1397","242010261085",42283326050000,28.27846,-99.01044,11349,507.083130069912,1.52355116910615,1.54979512276204,5.5345002347372,2.45132952209144
"1398","242010261087",42283323010000,28.27171,-99.16509,10153,490.028550810081,1.452666012933,1.47246692790614,5.55979877572573,2.18931212389248
"1399","242010261260",42283324290000,28.25812,-99.07356,10764,507.970501870537,1.39599343526367,1.55546153732372,4.8328066894236,2.31011944320414
"1400","242010261321",42283326520000,28.34588,-98.80783,10793,483.816302138195,1.63584792977524,1.43517585750996,5.57332275793496,2.60726816736109
"1401","242010261330",42283323310000,28.40102,-99.34055,8394,464.866888788938,2.7925399753038,1.20515125888873,3.82697295412562,1.99097066837738
"1402","242010261439",42283323480100,28.18587,-99.28964,10519,506.119304072074,0.816774800285065,1.58668613931957,9.79945052530315,2.29269383970156
"1403","242010261833",42283326510000,28.27508,-99.38604,9411,480.217364217391,1.49056078202255,1.39990799815268,6.22621256630001,2.17037411107991
"1404","242010262592",42283322820000,28.40487,-99.05885,9880,475.446690069668,3.07503257060113,1.28306578407489,4.3217385229711,2.1460954682615
"1405","242010262866",42283322600000,28.33069,-98.81296,11122,486.492598528147,1.48819813944634,1.46301235080536,5.97639702665772,2.64672712353439
"1406","242010263063",42283326430000,28.32759,-98.95601,10494,492.657166306385,1.86651917548751,1.45235058368115,5.53939738528966,2.43364194319525
"1407","242010263150",42283323660000,28.27517,-99.39024,9335,479.937575439641,1.49535459448323,1.39910529496316,6.19273614029432,2.17241429748707
"1408","242010263275",42283323360000,28.33415,-99.31679,9328,473.724110377519,2.00711602282923,1.3142212741568,5.27658125892486,2.05849595095918
"1409","242010263302",42283323530000,28.33414,-99.31685,9298,473.723521001048,2.00697731041079,1.31422392684015,5.27661271409981,2.05852299020104
"1410","242010263658",42283322280000,28.23937,-99.17546,10797,498.940072379726,1.1642827418532,1.52712274470555,6.55548743682178,2.18974508269178
"1411","242010264016",42283327120000,28.27864,-99.00019,11339,507.240780190544,1.5075215456116,1.55372904436295,5.73467388230788,2.4756120563556
"1412","242010264019",42283327070000,28.32047,-98.97176,11007,495.124610262729,1.84173257457032,1.46712413979403,5.4817036299622,2.42687759681988
"1413","242010264170",42283327620000,28.22092,-99.37093,9811,492.03267186787,1.09848242197491,1.49511865204464,7.69698190006159,2.24530076690934
"1414","242010264428",42283328140000,28.32983,-98.95572,10977,492.096130753322,1.88887067771532,1.4476435166048,5.50680136555886,2.42806583879223
"1415","242010265593",42283326690000,28.32136,-99.2964,9226,476.345528989514,1.87776691499876,1.33999827245493,5.61561786816727,2.07206318138107
"1416","242010265595",42283326700000,28.32136,-99.29635,9230,476.347553011643,1.87780102124367,1.34001473494318,5.61568857422991,2.07206594639396
"1417","242010265629",42283322900000,28.17829,-99.25949,10768,509.67394808879,0.76062192014205,1.61170542092263,10.4211313252846,2.30339838340375
"1418","242010266127",42283326330000,28.20815,-99.30874,9841,499.399830830884,0.962571247436684,1.53821690050265,8.70648695438313,2.25593213575752
"1419","242010266128",42283326950000,28.20809,-99.30876,9874,499.413407096194,0.962197702371059,1.53832222610135,8.70849308454318,2.25603923840378
"1420","242010266130",42283328430000,28.33405,-98.98195,10832,491.950508305937,2.01199313035465,1.4375273538783,5.18847309390244,2.37606211749093
