Entity,Source,Entity Type,Primary Product,Lease Name,Well Number,API,Regulatory API,1st Mo - Oil,1st Mo - Gas,1st Mo - Water,Max IP - Oil,Max IP - Gas,Max IP - Water,Max IP - Date - Oil,Max IP - Date - Gas,Max IP - Date - Water,2nd Mo - Oil,2nd Mo - Gas,2nd Mo - Water,2nd/3rd Mo - Oil,2nd/3rd Mo - Gas,2nd/3rd Mo - Water,2nd/3rd Mo - Num of Mos,2nd-4th Mo - Oil,2nd-4th Mo - Gas,2nd-4th Mo - Water,2nd-4th Mo - Num of Mos,Norm 6 mos - Oil,Norm 6 mos - Gas,Norm 6 mos - Water,Norm 6 mos - Num of Mos,Norm 1 yr - Oil,Norm 1 yr - Gas,Norm 1 yr - Water,Norm 1 yr - Num of Mos,Norm 2 yr - Oil,Norm 2 yr - Gas,Norm 2 yr - Water,Norm 2 yr - Num of Mos,Cum Oil,Cum Gas,Last 12 Month Oil,Last 12 Month Gas
142010015428MULTIWELL01,PI,ALLOCATED,O,ROGERS,MULTI,42127339070000,,8728,6389,,,,,,,,7784,7521,,13755,13196,,2,17807,15618,,3,29007,25472,,6,29007,25472,,6,29007,25472,,6,37735,31861,37735,31861
1420100154321H,PI,ALLOCATED,O,CIRCLE T RANCH UNIT A,1H,42127337950000,,899,,,142,,165,2011-03-05,,2011-03-05,557,,,1977,8152,1650,2,1977,8152,1650,3,3948,9047,3940,6,9103,24001,9930,12,12701,43771,14111,24,14086,45589,2803,9281
1420100154741H,PI,ALLOCATED,O,KONE,1H,42127339060000,,2326,1952,,,,,,,,2110,1589,,5015,3662,713,2,7884,6288,1306,3,15355,36424,2028,6,26102,56722,4752,12,42468,67434,14280,19,44794,69386,25902,24798
1420100154742H,PI,ALLOCATED,O,KONE,2H,42127339130000,,,86,,,,,,,,6386,3861,,10037,6925,,2,12907,9086,,3,25520,19489,3570,6,49840,49138,9425,12,75503,67855,11874,21,75503,67941,38578,27310
1420100154743H,PI,ALLOCATED,O,KONE,3H,42127343580000,,1275,586,2707,,,,,,,0,0,0,0,0,0,2,0,0,0,3,26247,17274,280,6,38177,25728,407,7,38177,25728,407,7,39452,26314,39452,26314
1420100154744H,PI,ALLOCATED,O,KONE,4H,42127343590000,,358,,,,,,,,,1945,,,4204,1459,1562,2,7428,3693,3976,3,42961,24620,28623,6,73741,45284,51219,8,73741,45284,51219,8,74099,45284,74099,45284
1420100154745H,PI,ALLOCATED,O,KONE,5H,42127344270000,,3015,,,406,,88,2012-09-05,,2012-09-05,2724,818,698,5311,2017,1466,2,7473,3977,2166,3,31299,22328,9306,6,51939,40450,15853,8,51939,40450,15853,8,54954,40450,54954,40450
1420100154746H,PI,ALLOCATED,O,KONE,6H,42127344290000,,1506,,,,,,,,,2039,998,524,4304,2178,930,2,6626,3902,1134,3,31007,17777,1396,6,52126,31477,1635,8,52126,31477,1635,8,53632,31477,53632,31477
1420100154747H,PI,ALLOCATED,O,KONE,7H,42127344280000,,1792,835,1460,267,,184,2012-09-25,,2012-09-25,2150,1212,1238,4535,3406,2006,2,15160,12037,3340,3,42658,35719,7357,6,55157,47310,9184,7,55157,47310,9184,7,56949,48145,56949,48145
1420100154748H,PI,ALLOCATED,O,KONE,8H,42127344300000,,973,472,2493,145,,314,2012-09-25,,2012-09-25,1387,706,1906,3153,1965,2828,2,11967,6675,3015,3,34776,19599,3578,6,45144,25923,3833,7,45144,25923,3833,7,46117,26395,46117,26395
1420100154867H,PI,ALLOCATED,O,BAGGETT JOHN B,7H,42127337890000,,3848,122,4314,231,,259,2011-04-21,,2011-04-21,4133,1703,4634,7941,2963,8904,2,11879,3632,13319,3,17119,4179,19194,6,22915,13659,25693,12,28785,38034,32275,22,32633,38156,7411,29536
14201001549321H,PI,ALLOCATED,O,SHOOK,21H,42127336760000,,1215,10735,1453,316,,378,2010-08-19,,2010-08-19,921,7896,1102,1654,14342,1979,2,2388,21231,2857,3,4021,36265,4810,6,7951,54579,9512,12,14467,85781,17308,24,16717,102057,5763,28824
142010015493301H,PI,ALLOCATED,O,SHOOK,301H,42127339230000,,97,1175,481,144,,720,2011-08-29,,2011-08-29,179,1504,893,755,8037,3773,2,1123,13545,5611,3,2063,24917,10301,6,3643,46169,18190,12,4944,68968,24685,19,5041,70143,2634,39887
14201001553210H,PI,ALLOCATED,O,BRIGGS,10H,42127341980000,,1286,2217,1028,,,,,,,1263,5219,979,2330,11712,1779,2,3230,17933,2423,3,6328,70074,4317,6,9502,93297,6165,8,9502,93297,6165,8,10788,95514,10788,95514
14201001553211H,PI,ALLOCATED,O,BRIGGS,11H,42127342000000,,1505,,,169,,2,2012-07-29,,2012-07-29,1729,2973,21,2735,4024,246,2,3738,5927,740,3,6286,12567,4183,6,12128,27925,15260,10,12128,27925,15260,10,13633,27925,13633,27925
1420100155324H,PI,ALLOCATED,O,BRIGGS,4H,42127338620000,,799,,,246,,173,2011-11-26,,2011-11-26,4596,5815,3232,9157,15605,6386,2,13149,30226,9114,3,20802,52147,14922,6,27337,62881,18846,12,32123,74567,20036,18,32922,74567,11321,22420
1420100155325H,PI,ALLOCATED,O,BRIGGS,5H,42127338630000,,268,,,,,,,,,5663,6691,6372,11296,18909,12623,2,16244,38593,18042,3,25797,71344,29696,6,34194,92271,37933,12,39819,119151,39875,18,40087,119151,14022,47807
