Entity,Source,Entity Type,Primary Product,Lease Name,Well Number,API,Regulatory API,Hole Direction,Unit Well Number,Depth Total Maximum,Perforation Upper,Perforation Lower,Status Prod Current Name,Surface Latitude,Surface Longitude,Surface LL Source,Type Name,Date Completion,Date Abandonment,Play Name,Play Type
242010260885,PI,WELL,G,SOUTH SPUR STATE,3H,42127338270000,260885,HORIZONTAL,1,12612,8010,12460,INACTIVE,+28.35635, -99.92725,TS,ABANDONED-GENERAL,2011-05-24,,,
242010260886,PI,WELL,G,BRISCOE COCHINA EAST RANCH,3H,42127336670000,260886,HORIZONTAL,1,13507,8624,13383,ACTIVE,+28.40025, -99.42527,TS,ACTIVE PRODUCING-GENERAL,2010-11-01,,,
242010261053,PI,WELL,G,SOUTH SPUR RANCH,2H,42127338650000,261053,HORIZONTAL,1,11574,7305,11440,ACTIVE,+28.37220, -99.92181,TS,ACTIVE PRODUCING-GENERAL,2011-06-12,,,
242010261329,PI,WELL,G,BRIGGS,3H,42127337450000,261329,HORIZONTAL,1,13119,9000,12787,ACTIVE,+28.26544, -99.58463,TS,ACTIVE PRODUCING-GENERAL,2011-02-27,,,
242010261440,PI,WELL,G,BRISCOE COCHINA EAST RANCH,5H,42127336690000,261440,HORIZONTAL,1,13382,8990,13233,ACTIVE,+28.40413, -99.41186,TS,ACTIVE PRODUCING-GENERAL,2011-06-16,,,
242010261441,PI,WELL,G,RANCHO ENCANTADO,3H,42127338330000,261441,HORIZONTAL,1,13431,8756,13282,ACTIVE,+28.34983, -99.49624,TS,ACTIVE PRODUCING-GENERAL,2011-07-23,,,
242010261451,PI,WELL,G,BRISCOE COCHINA EAST RANCH,9H,42127336720000,261451,HORIZONTAL,1,14136,9140,14003,ACTIVE,+28.40048, -99.43458,TS,ACTIVE PRODUCING-GENERAL,2011-06-12,,,
242010261452,PI,WELL,G,BRISCOE COCHINA EAST RANCH,4H,42127336680000,261452,HORIZONTAL,1,13546,8947,13408,ACTIVE,+28.40035, -99.42534,TS,ACTIVE PRODUCING-GENERAL,2011-06-07,,,
242010261453,PI,WELL,G,BRISCOE COCHINA EAST RANCH,10H,42127336780000,261453,HORIZONTAL,1,14420,9230,14253,ACTIVE,+28.40055, -99.43458,TS,ACTIVE PRODUCING-GENERAL,2011-06-07,,,
242010261557,PI,WELL,G,BRISCOE CARLA RANCH,9H,42127338570000,261557,HORIZONTAL,1,13055,8299,12960,ACTIVE,+28.34842, -99.84070,TS,ACTIVE PRODUCING-GENERAL,2011-05-07,,,
242010262325,PI,WELL,G,BRISCOE FRIDAY RANCH,7H,42127337550000,262325,HORIZONTAL,1,13800,8920,13653,ACTIVE,+28.29234, -99.73599,TS,ACTIVE PRODUCING-GENERAL,2011-02-07,,,
242010262985,PI,WELL,G,BRISCOE CARLA RANCH,7H,42127338550000,262985,HORIZONTAL,1,13140,8253,12996,ACTIVE,+28.34851, -99.84081,TS,ACTIVE PRODUCING-GENERAL,2011-05-08,,,
