"","Entity","Uwi","Latitude","Longitude","Depth.True.Vertical","Tmax","S2","Romeasure","ClayChlo","waterporosity"
"662","1420200097221",42255318090000,28.88119,-97.84713,12902,477.256323254984,2.18590503178861,1.2689846395342,5.83687799817702,2.3605220266196
"663","1420200097273H",42255319790000,29.10452,-97.8733,9080,451.286787909631,10.291121641004,0.974026234465328,1.58172245779897,2.50960800509349
"664","1420200097283H",42255320260000,29.10315,-97.87674,9043,451.217028400273,10.2712644736339,0.973124413558474,1.59701799126587,2.51098776188556
"665","1420200097291",42255319080000,28.88819,-97.87318,12333,474.403697585146,2.66543049334124,1.23764259046508,5.50691250718841,2.36290257312239
"666","1420200097321",42255317660000,28.86901,-97.84852,12927,478.266866414955,1.96467431835206,1.28719021627392,5.68902273011399,2.34033730630502
"667","1420200097331H",42255318330000,28.83347,-97.97723,12159,471.201623384138,2.74685804897562,1.23793319069883,3.82642536824224,2.22949891144243
"668","1420200097361",42255318840100,28.90028,-97.84716,12826,475.532246352014,2.56918391960474,1.23754213579247,6.08271920735737,2.39542922849536
"669","1420200097411H",42255320040000,29.0135,-97.97073,10635,454.292702273909,7.7966606065507,1.00610624709234,2.81166487602623,2.44145441411512
"670","1420200097451",42255318850100,28.86618,-97.88044,12534,475.956286970416,2.2889338565768,1.26368811106907,5.29726824438445,2.32705142146034
"671","1420200097471H",42255320030000,29.00567,-97.99261,10583,453.753070600047,7.789484902139,0.991589513223024,2.88804914193128,2.42834991008562
"672","1420200097511",42255319380000,28.89762,-97.85531,12785,475.060350636195,2.62303615620975,1.23590373123075,5.90925740295206,2.3876438224815
"673","1420200097521H",42255318170000,28.83139,-97.98907,11967,470.486626101516,2.84824453388392,1.23125614479926,3.74728571941144,2.22661390217103
"674","1420200097541",42255319610000,28.96566,-97.79558,11932,471.883577077805,3.8210812645559,1.26159926552022,4.28696197169049,2.3574882600354
"675","1420200097561H",42255318650000,28.86975,-98.10521,10947,457.988826260874,5.02647106964674,1.07821266023982,3.34481383376483,2.29394220052401
"676","1420200097562H",42255318640000,28.86714,-98.10936,10889,457.900887047978,4.99643762146904,1.07900771659387,3.3452737866537,2.29356408162501
"677","1420200097569H",42255321150000,28.8682,-98.10705,11007,457.982365076188,5.00328156351656,1.07917044161293,3.34515123498685,2.29337567444692
"678","1420200097571H",42255319280000,29.04604,-97.84108,10451,458.343505971786,7.16386121922865,1.12183207543292,2.27196795435906,2.43992505404534
"679","1420200097572H",42255319510000,29.04394,-97.84411,10580,458.340361926419,7.11091513505303,1.12304962973527,2.2857036179089,2.44172964201285
"680","1420200097573H",42255319550000,29.04142,-97.84927,10577,458.245977235987,7.07097278341359,1.12262852021737,2.30211933308033,2.44491325944535
"681","1420200097574H",42255320150000,29.04809,-97.83758,10528,458.384362678853,7.20878710401841,1.12102361889461,2.2622547830858,2.43753154518224
"682","1420200097575H",42255322510000,29.04784,-97.8397,10436,458.267781478288,7.22624446932781,1.11954707969726,2.25682771697893,2.43943927424253
"683","1420200097576H",42255321670000,29.04471,-97.8427,10561,458.360571887807,7.12609065074203,1.1229161765848,2.28139476604239,2.44081726828723
"684","1420200097577H",42255321680000,29.04255,-97.84708,10575,458.279017784897,7.09019994792343,1.12275051882225,2.29366490538447,2.44364384545249
"685","1420200097581",42255319150000,28.91058,-97.8397,12694,475.010216110748,2.75711745909435,1.24347369525074,5.7785133959113,2.3912736616916
"686","1420200097602",42255319210000,28.98996,-97.75114,12893,471.113370118696,4.16974911575928,1.26875860808872,3.67424003061886,2.28848221095904
"687","1420200097621",42255318470000,28.93959,-97.80055,12439,475.456048421098,3.12779433975849,1.27897453253803,5.02956099191965,2.36199816894378
"688","1420200097631H",42255319900000,29.01555,-97.96657,10613,454.339002132116,7.81675733159187,1.00824496615574,2.78837981142239,2.44438572075266
"689","1420200097632H",42255322120000,29.01602,-97.9647,10602,454.400635306859,7.81013612540542,1.00980877113687,2.78312458238305,2.44518130211284
"690","1420200097633H",42255322300000,29.01593,-97.96458,10650,454.415638615988,7.80553346383213,1.01006679863843,2.78426625760063,2.44510060550233
"691","1420200097661H",42255319680000,28.81039,-98.10738,10676,462.983485006959,3.65013207340832,1.16819227236473,3.41319468991027,2.23632949357262
"692","1420200097671H",42255318900000,28.81851,-98.00986,11556,470.202588776529,2.8210781617854,1.23291234044076,3.66443008664072,2.2154548664167
"693","1420200097731",42255320280000,28.91602,-97.92445,11445,467.155355795202,4.10475881058921,1.16951761411961,4.33473898351068,2.35879214842986
"694","1420200097751H",42255320350000,29.02234,-97.95584,10599,454.309302585591,7.92251282804987,1.01191192839201,2.70382765833556,2.45312406875508
"695","1420200097761",42255319190000,28.96571,-97.79555,12044,471.878094264186,3.82229853324734,1.26158092734495,4.28551637135681,2.35745026956023
"696","1420200097771",42255318600000,28.95896,-97.80607,12066,472.126124577008,3.71649244339793,1.25693255605807,4.49024752871342,2.37118073982281
"697","1420200097801H",42255319020000,28.93712,-97.86194,11806,470.005229422116,3.74683701308776,1.20672212746037,4.89130135678997,2.40289884653488
"698","1420200097802H",42255319030100,28.93711,-97.86147,11867,470.047344339412,3.73998340333279,1.20720443355888,4.89662403034389,2.40289989613375
"699","1420200097811H",42255320060000,28.96202,-98.05792,10547,453.586881447577,7.13705983869205,0.980912544509468,3.18340424507865,2.36656172950623
"700","1420200097821H",42255319390000,29.06622,-97.86665,10406,454.993637163235,8.45170765590018,1.05427949838467,2.00989686732277,2.47136216602231
"701","1420200097822H",42255319400000,29.06494,-97.86111,10481,455.421565121143,8.31247151744211,1.06304150459663,2.02618161836711,2.46653776305583
"702","1420200097823H",42255319410000,29.06919,-97.85889,10499,455.171457153111,8.4734255081643,1.05722947959156,1.98044242881072,2.46773831505014
"703","1420200097824H",42255320770000,29.06464,-97.8616,10455,455.420245348139,8.30604929354876,1.06307215140121,2.02927475742658,2.46669711488725
"704","1420200097851",42255319700000,28.95251,-97.80965,12125,472.782307915716,3.56644906926147,1.2579914592669,4.67946127386806,2.37461058873428
"705","1420100153973H",42177320980000,29.28833,-97.50506,10018,456.727778621707,6.21579277322746,1.15020748448811,3.88349069993137,2.50739989956792
"706","1420100153974H",42177321480000,29.23394,-97.49511,11904,462.377847713303,5.16210948275279,1.2305286091124,4.73441915237599,2.55638429930222
