UWI,State,County Name,District Name,Latitude,Longitude
42123323097000,TX,DE WITT,RR DISTRICT 02,29.24193001,-97.35832977
42123323240000,TX,DE WITT,RR DISTRICT 02,29.04894066,-97.62827301
42123323780000,TX,DE WITT,RR DISTRICT 02,28.98694038,-97.52993011
42123323840000,TX,DE WITT,RR DISTRICT 02,29.01193047,-97.49656677
42123323877000,TX,DE WITT,RR DISTRICT 02,29.2694397,-97.29638672
42123324730000,TX,DE WITT,RR DISTRICT 02,29.23254013,-97.27800751
42123325690000,TX,DE WITT,RR DISTRICT 02,29.32736969,-97.24526215
42127000690000,TX,DIMMIT,RR DISTRICT 01,28.55529022,-100.0021286
42127003080000,TX,DIMMIT,RR DISTRICT 01,28.51988983,-99.76712799
42127003740001,TX,DIMMIT,RR DISTRICT 01,28.58919907,-99.62177277
42127003840000,TX,DIMMIT,RR DISTRICT 01,28.59592056,-99.48919678
42127305640001,TX,DIMMIT,RR DISTRICT 01,28.45915031,-99.6546936
42127307310000,TX,DIMMIT,RR DISTRICT 01,28.46739006,-99.65973663
42127308650000,TX,DIMMIT,RR DISTRICT 01,28.46738052,-99.64237213
42127309040000,TX,DIMMIT,RR DISTRICT 01,28.49052048,-99.64630127
42127309450000,TX,DIMMIT,RR DISTRICT 01,28.48768044,-99.65779877
42127309720000,TX,DIMMIT,RR DISTRICT 01,28.49913025,-99.64864349
42127309760001,TX,DIMMIT,RR DISTRICT 01,28.63986969,-99.94777679
42127310190000,TX,DIMMIT,RR DISTRICT 01,28.41621971,-99.74456787
42127310230000,TX,DIMMIT,RR DISTRICT 01,28.47289085,-100.0137405
42127310240000,TX,DIMMIT,RR DISTRICT 01,28.46903992,-99.66873169
42127310380000,TX,DIMMIT,RR DISTRICT 01,28.6176796,-99.4121933
42127310440000,TX,DIMMIT,RR DISTRICT 01,28.48591995,-99.67253876
42127310450000,TX,DIMMIT,RR DISTRICT 01,28.54536057,-99.95230103
42127310460000,TX,DIMMIT,RR DISTRICT 01,28.6191597,-99.99838257
42127310570000,TX,DIMMIT,RR DISTRICT 01,28.27087975,-99.82740021
42127310650000,TX,DIMMIT,RR DISTRICT 01,28.40069962,-100.0295181
42127310720000,TX,DIMMIT,RR DISTRICT 01,28.63549042,-99.4000473
42127310730000,TX,DIMMIT,RR DISTRICT 01,28.62569046,-99.41268158
42127310780000,TX,DIMMIT,RR DISTRICT 01,28.46776009,-99.84757233
42127310810000,TX,DIMMIT,RR DISTRICT 01,28.46702957,-99.6829071
42127310820000,TX,DIMMIT,RR DISTRICT 01,28.47866058,-99.66683197
42127310850000,TX,DIMMIT,RR DISTRICT 01,28.55050087,-99.77249146
42127310890000,TX,DIMMIT,RR DISTRICT 01,28.53827095,-99.92900848
42127310950000,TX,DIMMIT,RR DISTRICT 01,28.25958061,-99.83280945
42127310990000,TX,DIMMIT,RR DISTRICT 01,28.52642059,-99.80549622
42127311030000,TX,DIMMIT,RR DISTRICT 01,28.45869064,-99.66751099
42127311050000,TX,DIMMIT,RR DISTRICT 01,28.6174202,-99.44689178
42127311100000,TX,DIMMIT,RR DISTRICT 01,28.43588066,-99.80879211
42127311160000,TX,DIMMIT,RR DISTRICT 01,28.52301979,-99.8184433
42127311200000,TX,DIMMIT,RR DISTRICT 01,28.38414955,-99.88581848
42127311230000,TX,DIMMIT,RR DISTRICT 01,28.60334969,-99.54534149
42127311330000,TX,DIMMIT,RR DISTRICT 01,28.61285973,-99.48751068
42127311370000,TX,DIMMIT,RR DISTRICT 01,28.60692024,-99.90032196
42127311380000,TX,DIMMIT,RR DISTRICT 01,28.52461052,-99.79901123
42127311390000,TX,DIMMIT,RR DISTRICT 01,28.50226974,-100.0571289
42127311400000,TX,DIMMIT,RR DISTRICT 01,28.26761055,-99.83428955
42127311450000,TX,DIMMIT,RR DISTRICT 01,28.5129509,-99.82015991
42127311470000,TX,DIMMIT,RR DISTRICT 01,28.61301994,-99.43829346
42127311490000,TX,DIMMIT,RR DISTRICT 01,28.625,-99.45632172
42127311550000,TX,DIMMIT,RR DISTRICT 01,28.48757935,-99.90776062
42127311610000,TX,DIMMIT,RR DISTRICT 01,28.58947945,-99.48539734
42127311660000,TX,DIMMIT,RR DISTRICT 01,28.56401062,-99.82066345
42127311820000,TX,DIMMIT,RR DISTRICT 01,28.2450695,-99.76178741
42127311890000,TX,DIMMIT,RR DISTRICT 01,28.62157059,-99.51747131
42127312110000,TX,DIMMIT,RR DISTRICT 01,28.49282074,-99.66545105
42127312200000,TX,DIMMIT,RR DISTRICT 01,28.50350952,-99.6353302
42127312210000,TX,DIMMIT,RR DISTRICT 01,28.55031967,-99.41123962
42127312260000,TX,DIMMIT,RR DISTRICT 01,28.49299049,-99.90749359
42127312300000,TX,DIMMIT,RR DISTRICT 01,28.61153984,-99.55371094
42127312420000,TX,DIMMIT,RR DISTRICT 01,28.41957092,-99.97588348
42127312430000,TX,DIMMIT,RR DISTRICT 01,28.49925995,-99.88517761
42127312440000,TX,DIMMIT,RR DISTRICT 01,28.63101006,-99.76104736
42127312450000,TX,DIMMIT,RR DISTRICT 01,28.53543091,-99.82871246
42127312470000,TX,DIMMIT,RR DISTRICT 01,28.47134972,-100.0404663
42127312510000,TX,DIMMIT,RR DISTRICT 01,28.54995918,-99.94602203
42127315410000,TX,DIMMIT,RR DISTRICT 01,28.56912041,-99.43775177
42127315450000,TX,DIMMIT,RR DISTRICT 01,28.49085045,-99.89909363
42127315480000,TX,DIMMIT,RR DISTRICT 01,28.53731918,-100.0901184
42127315520000,TX,DIMMIT,RR DISTRICT 01,28.48304939,-99.69360352
42127315540000,TX,DIMMIT,RR DISTRICT 01,28.57913971,-100.0439835
