"Uwi","Latitude","Longitude","Production.P10","Production.P50","Production.P90"
"42013345610000",28.73562,-98.21389,20.7027079630289,10.011442556048,0
"42013345620000",28.73562,-98.21397,20.691190584269,10.0593997621329,0
"42013345630000",28.73562,-98.21404,21.0324999881189,10.6109039638862,0
"42013345640000",28.73562,-98.21412,20.4201145182386,9.81382536249164,0
"42013345660000",28.64194,-98.32905,23.2786339022111,12.2845502661241,0
"42013345690000",28.64188,-98.32907,23.2823893668856,12.3392359091205,0
"42013345710000",28.65391,-98.54771,19.3184941902558,7.40923685909769,0
"42013345720000",28.65391,-98.54779,19.1285618685073,7.24489605080342,0
"42013345750000",28.77498,-98.13808,25.5861418053772,14.3993321558273,3.9275984293515
"42013345760000",28.64207,-98.32901,23.2727534222144,12.6388701054452,0
"42013345770000",28.64201,-98.32903,22.6520392491086,12.5432819141016,0.0661826592721876
"42013345820000",28.70178,-98.46017,17.4917660697923,6.13583592298713,0
"42013345830000",28.83522,-98.21725,21.9864262305375,9.82683502869132,0
"42013345840000",28.83517,-98.21731,21.189806010952,9.67519543003178,0
"42013345860000",28.78503,-98.17362,21.9973767056826,11.0018400305552,0
"42013345870000",28.70973,-98.22148,23.3844064874925,12.5790559176512,1.31187637186388
"42013345880000",28.76414,-98.17357,24.9948651774896,13.7431735448326,3.81500158424083
"42013345890000",28.81501,-98.3031,20.1785840747911,8.74014461491268,0
"42013345900000",28.70964,-98.2216,23.0564031052543,12.5265284252008,0.276116276150674
"42013345910000",28.75659,-98.18596,25.0898814852158,15.4945860212367,4.55062410729836
"42013345930000",28.87822,-98.24979,24.7606249930003,12.3068290751804,0.503725811489164
"42013345940000",28.79782,-98.29729,19.2398829764677,7.75482676236638,0
"42013345950000",28.77498,-98.13801,24.1092931167581,13.9449372642392,4.32380305956112
"42013345960000",28.77596,-98.16094,24.7673011069827,14.2519083312516,3.71463027659623
"42013345970000",28.82882,-98.26368,20.8531497614417,8.88897371869743,0
"42013345990000",28.70969,-98.22154,22.8675000555609,12.7266233253618,0
"42013346070000",28.87815,-98.24987,23.7822929214831,12.4364947624199,0.63724409496751
"42013346200000",28.68017,-98.78437,21.2884069482726,10.2515619246998,0
"42013346210000",28.78148,-98.72287,23.7231339646292,11.538509752157,0
"42013346220000",28.70959,-98.21394,24.0694709127944,12.7820992437148,0.788774370474666
"42013346230000",28.88142,-98.26501,24.3826519601175,12.5748038866635,0.576648344095691
"42013346240000",28.88133,-98.26498,24.0661355365572,13.0595546252611,0.381667458498877
"42013346350000",28.9421,-98.31387,37.2354259288743,21.1511599502402,6.18241284520537
"42025336250000",28.68542,-97.94554,26.3025113876057,13.6392193240249,1.36229551422103
"42025337170000",28.69579,-97.95048,26.2137882858038,13.0855153176818,0.90742543200037
"42025337210100",28.68677,-97.95765,24.9025514178072,13.2212811166632,1.74114982375737
"42025337240000",28.66494,-98.06229,29.4836816280972,16.1419344383755,3.03326548986049
"42025337260000",28.67261,-98.03378,30.6020680096946,15.7604964992768,0
"42025337410000",28.64345,-98.03091,22.057142389573,10.1652577111068,0
"42025337470000",28.67445,-98.02702,30.1585684191495,15.1626515451278,0
"42025337750000",28.67362,-97.96622,21.1457894083851,8.27868545966995,0
"42025337910000",28.66017,-98.01603,28.2405886253812,13.7966123893153,0.109129377403207
"42025337940000",28.66442,-98.04701,30.3552606229894,15.7336366837081,1.64063886016615
"42025337950000",28.65296,-97.99596,23.8383764758076,12.1132695907428,0
"42025337970000",28.66545,-98.0014,27.1516844366568,14.3666046677974,0
"42025338210000",28.62285,-98.05128,21.3840083002062,6.47038577585692,0
"42025338250000",28.65276,-98.03733,27.3028891227131,13.8534735422082,1.07686374216791
"42025338260000",28.61847,-98.06076,28.7345721074743,16.0504906177563,2.69104649503984
"42025338380000",28.64548,-98.02184,26.9802295240006,13.0569582505566,0
"42025338390000",28.65277,-98.04185,27.5531537397231,13.109544030847,0
"42025338420000",28.66479,-98.00844,27.9875995160834,14.3244920145422,0
"42025338490000",28.62992,-98.05801,32.1871987725441,17.3760518653968,2.08010554006897
"42041320140100",30.4593,-96.13702,39.392886740975,24.9079498399203,8.67876067891829
"42041320160000",30.55898,-96.17456,35.7985152069638,21.5163650229002,8.40476408922794
"42041320800000",30.7451,-96.34471,28.7302355677914,16.8146232903605,4.84742819970372
"42041320840000",30.76414,-96.39755,29.9234859511083,16.0866966337958,4.30011241153567
"42041320920000",30.7892,-96.35133,29.0354815038486,16.4047135708986,4.44238409638412
"42041320940000",30.72611,-96.43895,29.0884289443726,16.508902789102,4.79179780793183
"42041320980000",30.83005,-96.40588,28.6309168006643,16.4201770989154,4.01498777075346
"42041321070000",30.79675,-96.38491,28.5743844100535,15.8116721844638,4.1979962625705
"42051331310100",30.4926,-96.54847,29.8797944747135,16.3760666528709,4.42140903252703
"42051336380100",30.47747,-96.51323,31.1789049202897,16.3354159551418,3.97194687979281
"42051336400000",30.5495,-96.5686,35.2768745999449,22.1299194488965,10.4742877710076
"42051336430000",30.55405,-96.42879,29.4721124520727,15.9400550532332,4.45858631713135
"42123322020000",29.00776,-97.61978,30.2362617185144,16.1915313872871,3.58885484554741
